,,,PHOTOS,DOC TYPE,NOTES,PLANT NO.,,
Adiantum aleuticum,FIVE-FINGER FERN,,http://www.flickr.com/search/?q=jrbp Adiantum aleuticum,SPEC,Collected 1965-1979. Scoured from rocks opposite W end of dam during El Nino of 1982-83,14,,
Adiantum jordanii,CALIFORNIA MAIDENHAIR,,http://www.flickr.com/search/?q=jrbp Adiantum jordanii,SPEC,,15,,
Pellaea andromedifolia,COFFEE FERN,,http://www.flickr.com/search/?q=jrbp Pellaea andromedifolia,SPEC,,16,,
Pellaea mucronata var. mucronata,BIRD'S-FOOT FERN,,http://www.flickr.com/search/?q=jrbp Pellaea mucronata,SPEC,,17,,
Pentagramma triangularis ssp. triangularis,GOLDBACK FERN,,http://www.flickr.com/search/?q=jrbp Pentagramma triangularis,SPEC,,18,,
WOODSIACEAE – CLIFF FERN FAMILY,,,,,,,,
Cystopteris fragilis,FRAGILE FERN,,http://www.flickr.com/search/?q=Cystopteris fragilis jrbp,SPEC,,4,,
GYMNOSPERMS,,,,,,,,
CUPRESSACEAE – CYPRESS FAMILY (includes TAXODIACEAE),,,,,,,,
! Hesperocyparis macrocarpa,MONTEREY CYPRESS,,http://www.flickr.com/search/?q=jrbp Cupressus,SPEC,"Planted; historical doc for Searsville (Regnery, p.7)",19,,
Sequoia sempervirens,REDWOOD,,http://www.flickr.com/search/?q=jrbp Sequoia sempervirens,SPEC,,22,,
PINACEAE – PINE FAMILY,,,,,,,,
! Pinus radiata,MONTEREY PINE,,http://www.flickr.com/search/?q=jrbp Pinus radiata,SPEC,Widely planted and naturalized; native stands in SM County at Año Nuevo are RANK 1B.1,20,,
N Pinus sylvestris,SCOTCH PINE,,http://www.flickr.com/search/?q=jrbp Pinus sylvestris,SPEC,Survivors from Xmas tree planting,861,,
Pseudotsuga menziesii var. menziesii,DOUGLAS-FIR,,http://www.flickr.com/search/?q=jrbp Pseudotsuga,SPEC,,21,,
TAXODIACEAE (see CUPRESSACEAE),,,,,,,,
ANGIOSPERMS,,,,,,,,
MAGNOLIIDS (DICOTYLEDONS),,,,,,,,
LAURACEAE – LAUREL FAMILY,,,,,,,,
Umbellularia californica,"CALIFORNIA BAY, CALIFORNIA LAUREL, PEPPERWOOD",,http://www.flickr.com/search/?q=jrbp Umbellularia californica,SPEC,,398,,
CERATOPHYLLALES (DICOTYLEDONS),,,,,,,,
CERATOPHYLLACEAE – HORNWORT FAMILY,,,,,,,,
Ceratophyllum demersum,HORNWORT,,http://www.flickr.com/search/?q=jrbp Ceratophyllum demersum,SPEC,"Most recent report by Lennihan 9/30/95 ""tons in lake,""",241,,
EUDICOTYLEDONS/EUDICOTS (DICOTYLEDONS),,,,,,,,
ACERACEAE (see SAPINDACEAE),,,,,,,,
ADOXACEAE – MUSKROOT FAMILY,,,,,,,,
Sambucus nigra ssp. caerulea (S. mexicana),BLUE ELDERBERRY,,http://www.flickr.com/search/?q=jrbp Sambucus,SPEC,,226,,
AMARANTHACEAE – AMARANTH FAMILY,,,,,,,,
*Amaranthus albus,TUMBLEWEED,,http://www.flickr.com/search/?q=jrbp Amaranthus albus,SPEC,Collected 1964-2006,25,,
Amaranthus californicus,CALIFORNIAN AMARANTH,,http://www.flickr.com/search/?q=jrbp Amaranthus californicus,SPEC$,POM164507 1902; UC 135837 1902,27,,
*Amaranthus retroflexus,REDROOT PIGWEED,,http://www.flickr.com/search/?q=jrbp Amaranthus retroflexus,SPEC,Collected in 1974; not reported since,28,,
ANACARDIACEAE – SUMAC/CASHEW FAMILY,,,,,,,,
*Pistacia atlantica,PISTACHIO,,http://www.flickr.com/search/?q=jrbp Pistacia  atlantica,SPEC,"Lvs pinately compound, alternate, axis winged; dioecious tree",29,,
! Rhus integrifolia,LEMONADE BERRY,,http://www.flickr.com/search/?q=jrbp Rhus integrifolia,SPEC,,822,,
Toxicodendron diversilobum,WESTERN POISON OAK,,http://www.flickr.com/search/?q=jrbp Toxicodendron diversilobum,SPEC,,30,,
APIACEAE – CARROT FAMILY,,,,,,,,
Angelica tomentosa,WOOD ANGELICA,,http://www.flickr.com/search/?q=jrbp Angelica tomentosa,SPEC,,31,,
*Anthriscus caucalis,BUR-CHERVIL,,http://www.flickr.com/search/?q=jrbp Anthriscus,SPEC,Fr w/beak (vs Torilis w/o beak),32,,
Apiastrum angustifolium,WILD CELERY,,,REP,Dengler [Notebook] 10/27/1962 “SF Cr — beach 100' below falls cut by small rivulet last year. Growing in this shallow running water”; not reported since,33,,
Bowlesia incana,BOWLESIA,,http://www.flickr.com/search/?q=jrbp Bowlesia,SPEC,Stellate hairs on abaxial lf blades,847,,
*Conium maculatum,POISON HEMLOCK,,http://www.flickr.com/search/?q=jrbp conium maculatum,SPEC,,34,,
Daucus pusillus,RATTLESNAKE WEED,,http://www.flickr.com/search/?q=jrbp Daucus pusillus,SPEC,,35,,
« Eryngium jepsonii,JEPSON'S ERYNGO,,http://www.flickr.com/search/?q=jrbp Eryngium,SPEC,Separated from E. aristulatum var. aristulatum in TJM2.,36,,
*Foeniculum vulgare,FENNEL,,http://www.flickr.com/search/?q=jrbp Foeniculum,SPEC,,37,,
Heracleum maximum (H. lanatum),"COW PARSNIP, GIANT HOGWEED",,http://www.flickr.com/search/?q=jrbp Heracleum,SPEC,,38,,
Lomatium caruifolium var. caruifolium,CARAWAY-LEAVED LOMATIUM,,http://www.flickr.com/search/?q=jrbp Lomatium caruifolium,SPEC,"Relocated 4/2013 off Trail 11. Earlier reports: north side of Rd. D, Sector 13 A5; in bloom 3/25/02 and 3/26/03. Rep. “common” south of Rd D: Dengler [Notebook] 5/5/63.",39,,
Lomatium dasycarpum ssp. dasycarpum,WOOLLY-FRUITED LOMATIUM,,http://www.flickr.com/search/?q=jrbp Lomatium dasycarpum,SPEC,,40,,
Lomatium macrocarpum,LARGE-FRUITED LOMATIUM,,http://www.flickr.com/search/?q=jrbp Lomatium macrocarpum,SPEC,,41,,
Lomatium utriculatum,COMMON LOMATIUM,,http://www.flickr.com/search/?q=jrbp Lomatium utriculatum,SPEC,,42,,
Oenanthe sarmentosa,PACIFIC OENANTHE,,http://www.flickr.com/search/?q=jrbp Oenanthe sarmentosa,SPEC,,43,,
"Osmorhiza berteroi
 (O. chilensis)",WOOD SWEET CICELY,,http://www.flickr.com/search/?q=jrbp Osmorhiza berteroi,SPEC,,44,,
Perideridia kelloggii,KELLOGG’S YAMPAH,,http://www.flickr.com/search/?q=jrbp Perideridia kelloggii,SPEC,,46,,
Sanicula bipinnata,POISON SANICLE,,http://www.flickr.com/search/?q=jrbp Sanicula bipinnata,SPEC,Single location Trail 11,47,,
Sanicula bipinnatifida,"PURPLE SANICLE, SHOE BUTTONS",,http://www.flickr.com/search/?q=jrbp Sanicula bipinnatifida,SPEC,,48,,
Sanicula crassicaulis,PACIFIC SANICLE,,http://www.flickr.com/search/?q=jrbp Sanicula crassicaulis,SPEC,,49,,
Sanicula laciniata,COAST SANICLE,,http://www.flickr.com/search/?q=jrbp Sanicula laciniata,SPEC,Single location Trail 9,50,,
Sanicula tuberosa,TUBEROUS SANICLE,,http://www.flickr.com/search/?q=jrbp Sanicula tuberosa,SPEC,Several plants at single location in Serpentine,51,,
*Scandix pecten- veneris,VENUS' NEEDLE,,http://www.flickr.com/search/?q=jrbp Scandix,SPEC,,52,,
Tauschia hartwegii,HARTWEG'S TAUSCHIA,,http://www.flickr.com/search/?q=jrbp Tauschia hartwegii,SPEC,Oak woodland,53,,
Tauschia kelloggii,KELLOGG'S TAUSCHIA,,http://www.flickr.com/search/?q=jrbp Tauschia kelloggii,SPEC,Serpentine chaparral,54,,
*Torilis arvensis,TALL SOCK-DESTROYER,,http://www.flickr.com/search/?q=jrbp Torilis arvensis,SPEC,Fr w/beak (vs. Anthriscus); infl open,55,,
*Torilis nodosa,SHORT SOCK-DESTROYER,,http://www.flickr.com/search/?q=jrbp Torilis nodosa,SPEC,Fr w/beak; fl in lf axis,56,,
Yabea microcarpa,CALIFORNIA HEDGE PARSLEY,,http://www.flickr.com/search/?q=jrbp Yabea,SPEC,,57,,
APOCYNACEAE – DOGBANE FAMILY (includes ASCLEPIADACEAE),,,,,,,,
Asclepias fascicularis,NARROW-LEAF MILKWEED,,http://www.flickr.com/search/?q=jrbp Asclepias,SPEC,,60,,
*Nerium oleander,COMMON OLEANDER,,http://www.flickr.com/search/?q=jrbp Nerium,SPEC,Planted at caretaker’s house; persistent,878,,
*Vinca major,GREATER PERIWINKLE,,http://www.flickr.com/search/?q=jrbp Vinca major,SPEC,,58,,
ARALIACEAE – GINSENG FAMILY,,,,,,,,
Aralia californica,ELK CLOVER,,,DOC,Reported 2001-2009; not seen since,823,,
*Hedera helix,ENGLISH IVY,,http://www.flickr.com/search/?q=jrbp Hedera helix,SPEC,,59,,
ASCLEPIADACEAE (see APOCYNACEAE),,,,,,,,
ASTERACEAE – SUNFLOWER FAMILY,,,,,,,,
Achillea millefolium,YARROW,,http://www.flickr.com/search/?q=jrbp Achillea millefolium,SPEC,,61,,
Achyrachaena mollis,BLOW-WIVES,,http://www.flickr.com/search/?q=jrbp Achyrachaena mollis,SPEC,,62,,
Adenocaulon bicolor,TRAIL PLANT,,http://www.flickr.com/search/?q=jrbp Adenocaulon,SPEC,Reported 4/24/2002; not seen since,63,,
Agoseris grandiflora var. grandiflora (A. g.),"CALIFORNIA DANDELION, LARGE-FLOWERED AGOSERIS",,http://www.flickr.com/search/?q=jrbp Agoseris grandiflora,SPEC,,65,,
Agoseris heterophylla,ANNUAL AGOSERIS,,http://www.flickr.com/search/?q=jrbp Agoseris heterophylla,SPEC,,66,,
Anisocarpus madioides (Madia m.),WOODLAND TARWEED,,http://www.flickr.com/search/?q=jrbp Anisocarpus,SPEC,,139,,
*Anthemis cotula,MAYWEED,,http://www.flickr.com/search/?q=jrbp Anthemis,SPEC,Fl hds solitary; lvs finely divided (vs. Tanacetum),68,,
Arnica discoidea,RAYLESS ARNICA,,http://www.flickr.com/search/?q=jrbp Arnica discoidea,SPEC,"Collected in 1921. Springer 1935 “Rare, one plant on openly wooded slope and one at edge of chap”; not reported since",70,,
*Artemisia biennis,BIENNIAL SAGEWORT,,http://www.flickr.com/search/?q=jrbp Artemisia biennis,SPEC,Collected in 1924; Dengler 1975; not reported since,71,,
Artemisia californica,CALIFORNIA SAGEBRUSH,,http://www.flickr.com/search/?q=jrbp Artemisia californica,SPEC,,72,,
Artemisia douglasiana,MUGWORT,,http://www.flickr.com/search/?q=jrbp Artemisia douglasiana,SPEC,,73,,
"Baccharis glutinosa
 (B. douglasii)",MARSH BACCHARIS,,http://www.flickr.com/search/?q=jrbp Baccharis glutinosa,SPEC,,76,,
Baccharis pilularis ssp. consanguinea,COYOTE BRUSH,,http://www.flickr.com/search/?q=jrbp Baccharis pilularis,SPEC,"See Williams; Hobbs; Hamburg, 1987",77,,
Calycadenia multiglandulosa,STICKY CALYCADENIA,,http://www.flickr.com/search/?q=jrbp Calycadenia multiglandulosa,SPEC,,78,,
*Carduus pycnocephalus ssp. pycnocephalus,ITALIAN THISTLE,,http://www.flickr.com/search/?q=jrbp Carduus pycnocephalus,SPEC,Basal lvs 4-10 lobed; fl heads gen 2-5 per cluster,79,,
*Carduus tenuiflorus,SLENDER-FLOWERED THISTLE,,http://www.flickr.com/search/?q=jrbp Carduus tenuiflorus,SPEC,Basal lvs 12-20 lobed; fl heads 5-20 per cluster,80,,
*Centaurea calcitrapa,PURPLE STAR-THISTLE,,http://www.flickr.com/search/?q=jrbp Centaurea calcitrapa,SPEC,"Fls purple. Springer 1935 ""Rare""; now occasional",81,,
*Centaurea melitensis,TOCALOTE,,http://www.flickr.com/search/?q=jrbp Centaurea melitensis,SPEC,"Fls yellow; terminal spines 5-9 mm; marginal fls w/ pappus (vs C. solstitialis).
 Springer 1935 “Very abundant in May and June”",82,,
*Centaurea solstitialis,YELLOW STAR-THISTLE,,http://www.flickr.com/search/?q=jrbp Centaurea solstitialis,SPEC,"Fls yellow; terminal spines 11-22 mm; pappus marginal fls lacking (vs C. melitensis). Springer 1935 “Rare, one plant found along road in August”; now abundant",83,,
*Cichorium intybus,CHICORY,,http://www.flickr.com/search/?q=jrbp Cichorium intybus,SPEC,,85,,
Cirsium brevistylum,CLUSTERED THISTLE,,http://www.flickr.com/search/?q=jrbp Cirsium brevistylum,SPEC,Trail 1 a few meters west of serpentine,86,,
Cirsium occidentale var. occidentale,COBWEBBY THISTLE,,http://www.flickr.com/search/?q=jrbp Cirsium occidentale,SPEC,Collected in 1974 and 1979 “Below dam near ‘old’ low-flow crossing”; not reported since,87,,
Cirsium occidentale var. venustum,VENUS THISTLE,,http://www.flickr.com/search/?q=jrbp Cirsium venustum,SPEC,Collected in 1963 “Oak woodland at Westridge end of ridge” and 1973 along Rd D west of Rd E; not reported since,88,,
*Cirsium vulgare,BULL THISTLE,,http://www.flickr.com/search/?q=jrbp Cirsium vulgare,SPEC,Springer 1935 “Rather infrequent”; now common,89,,
*Cotula australis,AUSTRALIAN COTULA,,http://www.flickr.com/search/?q=jrbp Cotula australis,SPEC,"Fl on peduncle (vs Soliva, fls sessile)",93,,
*Cotula coronopifolia,BRASS-BUTTONS,,http://www.flickr.com/search/?q=jrbp Cotula coronopifolia,SPEC,Collected in 1981 and 1982 on dam face; Boething 2005; not reported since,94,,
*Crepis vesicaria ssp. taraxacifolia,WEEDY HAWKSBEARD,,http://www.flickr.com/search/?q=jrbp Crepis vesicaria,SPEC,,96,,
Deinandra corymbosa (Hemizonia corymbosa ssp. c.),COASTAL TARPLANT,,http://www.flickr.com/search/?q=jrbp Deinandra corymbosa,SPEC,Collected in 1893. Reported by Springer 1935 “Rather infrequent on open and openly wooded slopes in May and June”; not reported since,118,,
"*Delairea odorata
 (Senecio mikanioides)","CAPE IVY, GERMAN IVY",,http://www.flickr.com/search/?q=jrbp Delairea odorata,SPEC,,153,,
*Dittrichia graveolens,STINKWORT,,http://www.flickr.com/search/?q=jrbp Dittrichia graveolens,SPEC,,848,,
*Erigeron bonariensis (Conyza b.),FLAX-LEAVED HORSEWEED,,http://www.flickr.com/search/?q=jrbp Erigeron bonariensis,SPEC,Plant gray-hairy,90,,
Erigeron canadensis (Conyza c.),HORSEWEED,,http://www.flickr.com/search/?q=jrbp Erigeron canadensis,SPEC,plant green; whole lf hairy (vs E. sumatrensis),91,,
Erigeron foliosus var. foliosus,LEAFY FLEABANE,,http://www.flickr.com/search/?q=jrbp Erigeron foliosus,SPEC,,98,,
*Erigeron karvinskianus,SANTA BARBARA DAISY,,http://www.flickr.com/search/?q=jrbp Erigeron karvinskianus,SPEC,,99,,
Erigeron philadelphicus var. philadelphicus (Erigeron p.),PHILADELPHIA FLEABANE,,,REP,"Springer 1935 “Rare, one plant on open hillside near drying stream in May”; Dengler 1975; not reported since",100,,
*Erigeron sumatrensis (Conyza floribunda),TROPICAL HORSEWEED,,http://www.flickr.com/search/?q=jrbp Erigeron sumatrensis,SPEC,First report 8/20/2011 in SF Cr. Plant green; lf margin hairy (strigose); sometime no ray fls (vs E. canadensis),914,,
Eriophyllum confertiflorum var. confertiflorum,"GOLDEN-YARROW, YELLOW-YARROW",,http://www.flickr.com/search/?q=jrbp Eriophyllum confertiflorum,SPEC,,101,,
Eriophyllum lanatum var. arachnoideum,COMMON WOOLLY SUNFLOWER,,http://www.flickr.com/search/?q=jrbp Eriophyllum lanatum,SPEC,,102,,
"Eurybia radulina
 (Aster radulinus)",ROUGH-LEAVED ASTER,,http://www.flickr.com/search/?q=jrbp Eurybia radulina,SPEC,,75,,
Euthamia occidentalis,WESTERN GOLDENROD,,http://www.flickr.com/search/?q=jrbp Euthamia occidentalis,SPEC,,103,,
Gamochaeta ustulata (Gnaphalium purpureum),PURPLE CUDWEED,,http://www.flickr.com/search/?q=jrbp Gamochaeta ustulata,SPEC,,110,,
Gnaphalium palustre,LOWLAND CUDWEED,,http://www.flickr.com/search/?q=jrbp Gnaphalium palustre,SPEC,,109,,
Grindelia camporum (G. camporum var. c.),GREAT VALLEY GRINDELIA,,http://www.flickr.com/search/?q=jrbp Grindelia camporum,SPEC,Collected in the early 1900s and 1972 “N side SF Cr in grassland in SLAC Corridor”; not reported since,113,,
Grindelia hirsutula (G. hirsutula var. h.),HIRSUTE GRINDELIA,,http://www.flickr.com/search/?q=jrbp Grindelia hirsutula,SPEC,,114,,
Helenium puberulum,"ROSILLA, SNEEZEWEED",,http://www.flickr.com/search/?q=jrbp Helenium puberulum,SPEC,,115,,
Helianthella californica var. californica,CALIFORNIA HELIANTHELLA,,http://www.flickr.com/search/?q=jrbp Helianthella californica,SPEC,,116,,
*Helminthotheca echioides (Picris e.),BRISTLY OX-TONGUE,,http://www.flickr.com/search/?q=jrbp Helminthotheca,SPEC,,146,,
Hemizonia congesta ssp. luzulifolia,HAYFIELD TARWEED,,http://www.flickr.com/search/?q=jrbp Hemizonia congesta,SPEC,,117,,
Hesperevax sparsiflora var. sparsiflora,ERECT EVAX,,http://www.flickr.com/search/?q=jrbp Hesperevax sparsiflora,SPEC,,119,,
Heterotheca grandiflora,TELEGRAPH WEED,,http://www.flickr.com/search/?q=jrbp Heterotheca grandiflora,SPEC,,120,,
Heterotheca sessiliflora ssp. echioides,GOLDENASTER,,http://www.flickr.com/search/?q=jrbp Heterotheca sessiliflora,SPEC,,121,,
Hieracium albiflorum,WHITE HAWKWEED,,http://www.flickr.com/search/?q=jrbp Hieracium,SPEC,Uncommon,122,,
*Hypochaeris glabra,SMOOTH CAT'S-EAR,,http://www.flickr.com/search/?q=jrbp Hypochaeris glabra,SPEC,,123,,
*Hypochaeris radicata,ROUGH CAT'S-EAR,,http://www.flickr.com/search/?q=jrbp Hypochaeris radicata,SPEC,,124,,
*Lactuca saligna,WILLOW LETTUCE,,http://www.flickr.com/search/?q=jrbp Lactuca saligna,SPEC,"Lvs linear, entire",125,,
*Lactuca serriola,PRICKLY LETTUCE,,http://www.flickr.com/search/?q=jrbp Lactuca serriola,SPEC,Lvs deeply lobed,126,,
*Lactuca virosa,WILD LETTUCE,,http://www.flickr.com/search/?q=jrbp Lactuca virosa,SPEC,Lvs toothed to shallowly lobed,834,,
Lagophylla ramosissima (L. r. ssp. r.),COMMON HARELEAF,,http://www.flickr.com/search/?q=jrbp Lagophylla ramosissima,SPEC,"Springer 1935 “Frequent, dry hillsides June to August”; now occasional.",127,,
*Lapsana communis,NIPPLEWORT,,http://www.flickr.com/search/?q=jrbp Lapsana,SPEC,,128,,
Lasthenia californica ssp. californica (L. c.),CALIFORNIA GOLDFIELDS,,http://www.flickr.com/search/?q=jrbp Lasthenia,SPEC,Wetter serpentine soil (vs. L.gracilis); pappus linear to awl-like scales or 0,129,,
Lasthenia gracilis (L. californica in part),COMMON GOLDFIELDS,,http://www.flickr.com/search/?q=jrbp Lasthenia,SPEC,Drier serpentine soil (vs. L. californica); pappus lance-ovate scales or 0,901,,
Layia hieracioides,TALL LAYIA,,http://www.flickr.com/search/?q=jrbp Layia hieracioides,SPEC,,131,,
Layia platyglossa,TIDY-TIPS,,http://www.flickr.com/search/?q=jrbp Layia platyglossa,SPEC,,132,,
« Lessingia hololeuca,WOOLLY-HEADED LESSINGIA,,http://www.flickr.com/search/?q=jrbp Lessingia hololeuca,SPEC,Fls blue. RANK 3,135,,
Lessingia pectinata var. tenuipes (L. glandulifera var. g. in part),VALLEY LESSINGIA,,http://www.flickr.com/search/?q=jrbp Lessingia glandulifera,SPEC,Fls yellow blooming May-Oct; specimens examined have purple banding near the throat of corolla tube and short triangular style appendage. Locally abundant,,,
*Leucanthemum maximum,SHASTA DAISY,,http://www.flickr.com/search/?q=jrbp Leucanthemum,SPEC,,913,,
*Logfia gallica (Filago g.),DAGGERLEAF COTTONROSE,,http://www.flickr.com/search/?q=jrbp Logfia gallica,SPEC,,105,,
Madia exigua,THREADSTEM TARWEED,,http://www.flickr.com/search/?q=jrbp Madia exigua,SPEC,"Disk fl 1(2), cor tube not hairy; anthers yellow to brown; phyllary glands yellow",137,,
Madia gracilis,GUMWEED,,http://www.flickr.com/search/?q=jrbp Madia gracilis,SPEC,"Disk fl 2-16, cor tube hairy; anthers dark purple; phyllary glands yellow, purple, or black.",138,,
Madia sativa,COAST TARWEED,,http://www.flickr.com/search/?q=jrbp Madia sativa,SPEC,,140,,
*Matricaria discoidea (Chamomilla suaveolens),"PINEAPPLE WEED, RAYLESS CHAMOMILE",,http://www.flickr.com/search/?q=jrbp Matricaria discoidea,SPEC,,84,,
Micropus californicus var. californicus,COTTONTOP,,http://www.flickr.com/search/?q=jrbp Micropus californicus,SPEC,,141,,
Microseris douglasii ssp. douglasii,DOUGLAS' MICROSERIS,,http://www.flickr.com/search/?q=jrbp Microseris douglasii,SPEC,Pappus scales ≥1.5 mm,142,,
Microseris douglasii ssp. tenella,SHORT-SCALED MICROSERIS,,http://www.flickr.com/search/?q=jrbp Microseris tenella,SPEC,Pappus scales ≤1 mm,837,,
« Monolopia gracilens,WOODLAND WOOLLYTHREADS,,http://www.flickr.com/search/?q=jrbp Monolopia gracilens,SPEC,RANK 1B.2. Collected in 1971; not reported since. Springer 1935 “Abundant in one place—near edge of chaparral above the lake”; Dengler [Notebook] 5/12/63 “just over edge of Canyon at edge of chaparral but still in grass”,143,,
Pentachaeta alsinoides,TINY CHAETOPAPPA,,http://www.flickr.com/search/?q=jrbp Pentachaeta alsinoides,SPEC,Collected 1958-1989 “Growing in grassy openings among oaks” in blue oak woodland and sometimes locally abundant; not reported since,144,,
"Petasites frigidus
 var. palmatus",WESTERN SWEET COLTSFOOT,,http://www.flickr.com/search/?q=jrbp Petasites frigidus,SPEC,,145,,
Pseudognaphalium beneolens (Gnaphalium canescens ssp. b.),FRAGRANT EVERLASTING,,http://www.flickr.com/search/?q=jrbp Pseudognaphalium beneolens,SPEC,Collected 1964 “edge of lake at dam”; not reported since,107,,
Pseudognaphalium californicum (Gnaphalium c.),GREEN EVERLASTING,,http://www.flickr.com/search/?q=jrbp Pseudognaphalium californicum,SPEC,,106,,
*Pseudognaphalium luteoalbum (Gnaphalium luteo- album),WEEDY CUDWEED,,http://www.flickr.com/search/?q=jrbp Pseudognaphalium luteoalbum,SPEC,,108,,
Pseudognaphalium ramosissimum (Gnaphalium r.),PINK EVERLASTING,,http://www.flickr.com/search/?q=jrbp Pseudognaphalium ramosissimum,SPEC,,111,,
Pseudognaphalium stramineum (Gnaphalium s.),COTTON-BATTING PLANT,,http://www.flickr.com/search/?q=jrbp Pseudognaphalium stramineum,SPEC,,112,,
Psilocarphus tenellus (P. tenellus var. t.),SLENDER WOOLLY-MARBLES,,http://www.flickr.com/search/?q=jrbp Psilocarphus tenellus,SPEC,,147,,
Rafinesquia californica,CALIFORNIA CHICORY,,http://www.flickr.com/search/?q=jrbp Rafinesquia californica,SPEC,,148,,
Rigiopappus leptocladus,RIGIOPAPPUS,,http://www.flickr.com/search/?q=jrbp Rigiopappus leptocladus,SPEC,,149,,
W Santolina chamaecyparissus (S. chamaecyparisus (TJM variant spelling); not in TJM2),GRAY LAVENDER-COTTON,,http://www.flickr.com/search/?q=jrbp Santolina,SPEC,Presumed planted near corporation yard; persistent,150,,
Senecio aronicoides,RAYLESS RAGWORT,,http://www.flickr.com/search/?q=jrbp Senecio aronicoides,SPEC,,151,,
"*Senecio minimus
 (Erechtites m.)",COASTAL BURNWEED,,http://www.flickr.com/search/?q=jrbp Senecio minimus,SPEC,,97,,
*Senecio vulgaris,COMMON GROUNDSEL,,http://www.flickr.com/search/?q=jrbp Senecio vulgaris,SPEC,,154,,
*Silybum marianum,MILK THISTLE,,http://www.flickr.com/search/?q=jrbp Silybum marianum,SPEC,,155,,
Solidago velutina ssp. californica (S. californica),CALIFORNIA GOLDENROD,,http://www.flickr.com/search/?q=jrbp Solidago californica,SPEC,,156,,
*Soliva sessilis,COMMON SOLIVA,,http://www.flickr.com/search/?q=jrbp Soliva,SPEC,Fl sessile in lf axis (vs. Cotula),157,,
*Sonchus asper ssp. asper,PRICKLY SOW THISTLE,,http://www.flickr.com/search/?q=jrbp Sonchus asper,SPEC,,158,,
*Sonchus oleraceus,COMMON SOW THISTLE,,http://www.flickr.com/search/?q=jrbp Sonchus oleraceus,SPEC,,159,,
Stebbinsoseris heterocarpa,GRASSLAND SILVERPUFFS,,http://www.flickr.com/search/?q=jrbp Stebbinsoseris heterocarpa,SPEC,,160,,
Stephanomeria virgata var. ?,VIRGATE STEPHANOMERIA,,http://www.flickr.com/search/?q=jrbp Stephanomeria virgata,SPEC,,161,,
Symphyotrichum chilense (Aster chilensis),COMMON CALIFORNIA ASTER,,http://www.flickr.com/search/?q=jrbp Symphyotrichum chilense,SPEC,,74,,
*Tanacetum parthenium,FEVERFEW,,http://www.flickr.com/search/?q=jrbp Tanacetum parthenium,SPEC,Fl hds several in cymes; leaves lobed (vs. Anthemis),162,,
*Taraxacum officinale,COMMON DANDELION,,http://www.flickr.com/search/?q=jrbp Taraxacum officinale,SPEC,,163,,
*Tragopogon porrifolius,"SALSIFY, OYSTER PLANT",,http://www.flickr.com/search/?q=jrbp Tragopogon porrifolius,SPEC,,164,,
Uropappus lindleyi,SILVERPUFFS,,http://www.flickr.com/search/?q=jrbp Uropappus lindleyi,SPEC,,165,,
*Urospermum picroides,PRICKLY GOLDENFLEECE,,http://www.flickr.com/search/?q=jrbp Urospermum picroides,SPEC,,851,,
Wyethia angustifolia,NARROW-LEAVED MULE EARS,,http://www.flickr.com/search/?q=jrbp Wyethia angustifolia,SPEC,,166,,
